ID_TEXT,ID_TEXT,CIUDAD,TIPO,UNIVERSIDAD_EVALUADA_NACIONAL,PRESTIGIO DE LA INSTITUCIÓN,NIVEL ACADÉMICO,OFERTA ACADÉMICA (CARRERAS OFERTADAS),PROFESORES,PROGRAMAS DE BECAS,COSTO DE COLEGIATURA Y OPCIONES DE PAGO,"INSTALACIONES, AULAS Y LABORATORIOS",PLAN DE ESTUDIOS,AMBIENTE ESTUDIANTIL,ACREDITACIONES Y CERTIFICACIONES,UBICACIÓN DEL CAMPUS,MODALIDADES HÍBRIDAS (PRESENCIAL Y ONLINE),MODALIDADES ONLINE,VALORES INSTITUCIONALES
Entrevistado_31,Entrevistado_31,LA PAZ,Primera mención,OTRAS1,8.4,7.0,7.8,8.0,5.0,10.0,6.4,6.5,7.7,6.4,7.5,5.0,7.3,6.9
Entrevistado_32,Entrevistado_32,COATZACOALCOS,Primera mención,OTRAS1,8.0,10.0,7.8,8.0,6.4,5.8,6.4,10.0,7.7,5.0,7.5,6.0,7.3,6.9
Entrevistado_33,Entrevistado_33,MORELIA,Primera mención,UNIVER,8.0,7.0,10.0,8.0,6.4,10.0,6.4,6.5,7.7,8.0,7.5,7.3,7.3,6.9
Entrevistado_34,Entrevistado_34,PUEBLA,Primera mención,OTRAS1,10.0,10.0,10.0,8.0,5.0,10.0,6.4,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_35,Entrevistado_35,CULIACÁN,Primera mención,OTRAS1,8.0,10.0,7.8,1.0,6.4,2.0,6.4,3.0,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_36,Entrevistado_36,CIUDAD DE MÉXICO,Primera mención,OTRAS1,10.0,8.0,6.0,8.0,6.0,5.8,6.4,6.5,7.7,10.0,7.5,10.0,7.3,6.9
Entrevistado_37,Entrevistado_37,MEXICALI,Primera mención,UAD,8.4,6.0,7.8,10.0,6.4,5.8,9.0,6.5,7.7,6.4,7.5,10.0,5.0,6.9
Entrevistado_38,Entrevistado_38,LEÓN,Primera mención,LA SALLE,9.0,10.0,10.0,8.0,9.0,5.8,6.0,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_39,Entrevistado_39,LA PAZ,Primera mención,OTRAS1,9.0,7.0,7.8,4.0,1.0,5.8,6.4,6.5,7.7,6.4,7.5,10.0,7.3,6.9
Entrevistado_40,Entrevistado_40,CULIACÁN,Primera mención,OTRAS1,8.4,5.0,7.8,9.0,6.4,5.8,9.0,10.0,7.7,10.0,7.5,7.3,7.3,6.9
Entrevistado_41,Entrevistado_41,MEXICALI,Primera mención,UAD,8.4,10.0,3.0,8.0,6.4,5.8,6.4,10.0,7.7,3.0,7.5,7.3,7.3,6.9
Entrevistado_42,Entrevistado_42,COATZACOALCOS,Primera mención,OTRAS1,8.4,8.0,10.0,10.0,6.4,3.0,10.0,6.5,7.7,6.4,7.5,9.0,7.3,6.9
Entrevistado_43,Entrevistado_43,MORELIA,Primera mención,LA SALLE,7.0,3.0,7.8,8.0,1.0,4.0,6.4,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_44,Entrevistado_44,CULIACÁN,Primera mención,OTRAS1,8.4,8.0,10.0,3.0,5.0,1.0,6.4,6.5,7.0,6.4,7.5,7.3,7.3,6.9
Entrevistado_45,Entrevistado_45,MAZATLÁN,Primera mención,TECMILENIO,8.4,8.0,9.0,1.0,7.0,5.8,6.4,6.5,9.0,6.4,7.5,8.0,7.3,6.9
Entrevistado_46,Entrevistado_46,CD. OBREGÓN,Primera mención,LA SALLE,8.0,8.0,1.0,4.0,3.0,5.8,6.4,6.0,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_47,Entrevistado_47,AGUASCALIENTES,Primera mención,ITESM,10.0,4.0,7.8,7.0,10.0,5.8,6.4,10.0,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_48,Entrevistado_48,GUADALAJARA,Primera mención,UAG,10.0,10.0,7.8,8.0,6.4,10.0,9.0,6.5,10.0,6.4,7.5,7.3,7.3,6.9
Entrevistado_49,Entrevistado_49,TUXTLA GUTIÉRREZ,Primera mención,OTRAS1,10.0,2.0,7.8,9.0,6.4,5.8,5.0,10.0,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_50,Entrevistado_50,AGUASCALIENTES,Primera mención,OTRAS1,8.0,8.0,8.0,8.0,8.0,10.0,6.4,6.5,7.7,6.4,7.5,7.3,7.0,6.9
Entrevistado_51,Entrevistado_51,QUERÉTARO,Primera mención,UVM,10.0,8.0,7.8,7.0,1.0,10.0,6.4,6.5,7.7,6.4,7.5,7.3,7.3,3.0
Entrevistado_52,Entrevistado_52,CIUDAD DE MÉXICO,Primera mención,UP,8.4,8.0,8.0,8.0,4.0,1.0,10.0,6.5,7.7,6.4,7.5,10.0,7.3,6.9
Entrevistado_53,Entrevistado_53,TUXTLA GUTIÉRREZ,Primera mención,OTRAS1,10.0,7.0,7.8,8.0,6.4,1.0,6.4,6.5,7.7,6.4,7.5,6.0,7.3,6.9
Entrevistado_54,Entrevistado_54,LEÓN,Primera mención,LA SALLE,7.0,9.0,7.8,8.0,6.0,6.0,6.4,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_55,Entrevistado_55,VILLAHERMOSA,Primera mención,UVM,6.0,8.0,10.0,8.0,7.0,5.8,8.0,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_56,Entrevistado_56,TUXTLA GUTIÉRREZ,Primera mención,OTRAS1,9.0,8.0,8.0,8.0,6.4,5.8,6.4,6.0,7.7,3.0,7.5,7.0,7.3,6.9
Entrevistado_57,Entrevistado_57,MONTERREY,Primera mención,ITESM,6.0,10.0,5.0,8.0,6.0,5.8,6.4,6.5,10.0,6.4,7.5,7.3,7.3,6.9
Entrevistado_58,Entrevistado_58,MÉRIDA,Primera mención,OTRAS1,2.0,9.0,7.8,8.0,10.0,5.8,6.4,8.0,7.7,6.4,7.5,10.0,7.3,6.9
Entrevistado_59,Entrevistado_59,QUERÉTARO,Primera mención,UVM,6.0,8.0,7.8,8.0,6.4,9.0,2.0,6.5,7.7,6.0,7.5,7.3,7.3,6.9
Entrevistado_60,Entrevistado_60,CULIACÁN,Primera mención,TECMILENIO,7.0,5.0,7.8,8.0,5.0,5.8,6.4,6.5,8.0,10.0,7.5,7.3,7.3,6.9
Entrevistado_61,Entrevistado_61,VILLAHERMOSA,Primera mención,UAG,10.0,10.0,10.0,8.0,6.4,10.0,6.4,6.5,7.7,1.0,7.5,7.3,7.3,6.9
Entrevistado_62,Entrevistado_62,CULIACÁN,Primera mención,OTRAS1,6.0,8.0,7.8,8.0,5.0,5.8,10.0,6.5,10.0,6.4,7.5,9.0,7.3,6.9
Entrevistado_63,Entrevistado_63,CULIACÁN,Primera mención,ITESM,8.0,10.0,7.8,10.0,1.0,5.8,1.0,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_64,Entrevistado_64,VILLAHERMOSA,Primera mención,UVM,10.0,10.0,7.8,8.0,1.0,1.0,7.0,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_65,Entrevistado_65,CULIACÁN,Primera mención,OTRAS1,9.0,10.0,7.8,9.0,1.0,5.8,6.4,10.0,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_66,Entrevistado_66,LOS MOCHIS,Primera mención,OTRAS1,9.0,1.0,7.8,8.0,7.0,3.0,6.4,6.5,7.0,6.4,7.5,7.3,7.3,6.9
Entrevistado_67,Entrevistado_67,CIUDAD DE MÉXICO,Primera mención,OTRAS1,8.4,9.0,7.0,8.0,10.0,9.0,6.4,9.0,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_68,Entrevistado_68,AGUASCALIENTES,Primera mención,UP,6.0,3.0,8.0,8.0,6.4,5.8,6.4,6.5,9.0,6.4,7.5,6.0,7.3,6.9
Entrevistado_69,Entrevistado_69,GUADALAJARA,Primera mención,UAG,7.0,8.0,7.8,8.0,10.0,5.8,5.0,7.0,1.0,6.4,7.5,7.3,7.3,6.9
Entrevistado_70,Entrevistado_70,IRAPUATO,Primera mención,OTRAS1,9.0,9.0,3.0,8.0,6.4,10.0,6.4,6.5,7.7,6.4,7.5,6.0,7.3,6.9
Entrevistado_71,Entrevistado_71,TUXTLA GUTIÉRREZ,Primera mención,OTRAS1,9.0,8.0,8.0,9.0,6.4,10.0,6.4,6.5,7.7,9.0,7.5,7.3,7.3,6.9
Entrevistado_72,Entrevistado_72,ENSENADA,Primera mención,OTRAS1,10.0,8.0,7.0,8.0,1.0,9.0,6.4,6.5,2.0,6.4,7.5,7.3,7.3,6.9
Entrevistado_73,Entrevistado_73,MORELIA,Primera mención,OTRAS1,8.4,10.0,10.0,7.0,6.4,2.0,10.0,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_74,Entrevistado_74,TEPIC,Primera mención,UNIVA,7.0,6.0,6.0,8.0,6.4,10.0,6.4,6.5,7.7,6.0,7.5,7.3,7.3,6.9
Entrevistado_75,Entrevistado_75,GUADALAJARA,Primera mención,ITESO,6.0,7.0,7.8,7.0,6.4,5.8,3.0,6.5,7.7,6.4,7.5,7.3,3.0,6.9
Entrevistado_76,Entrevistado_76,LEÓN,Primera mención,OTRAS1,8.4,8.0,3.0,8.0,1.0,7.0,10.0,6.5,7.7,6.4,7.0,7.3,7.3,6.9
Entrevistado_77,Entrevistado_77,GUADALAJARA,Primera mención,UAG,7.0,10.0,10.0,3.0,6.4,5.8,1.0,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_78,Entrevistado_78,CULIACÁN,Primera mención,TECMILENIO,8.4,9.0,7.0,8.0,6.4,10.0,6.4,3.0,7.7,6.4,7.5,7.3,9.0,6.9
Entrevistado_79,Entrevistado_79,GUADALAJARA,Primera mención,UAG,9.0,10.0,9.0,8.0,6.4,3.0,10.0,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_80,Entrevistado_80,GUADALAJARA,Primera mención,OTRAS1,8.0,9.0,6.0,10.0,6.4,5.8,10.0,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_81,Entrevistado_81,MORELIA,Primera mención,OTRAS1,8.0,8.0,7.8,8.0,8.0,6.0,6.4,6.5,7.7,2.0,7.5,7.3,7.3,6.9
Entrevistado_82,Entrevistado_82,TUXTLA GUTIÉRREZ,Primera mención,OTRAS1,10.0,8.0,7.8,10.0,10.0,10.0,6.4,6.5,7.7,6.4,7.5,7.3,5.0,6.9
Entrevistado_83,Entrevistado_83,CIUDAD DE MÉXICO,Primera mención,UNITEC,9.0,8.0,7.8,5.0,6.4,1.0,10.0,6.5,7.7,6.0,7.5,7.3,7.3,6.9
Entrevistado_84,Entrevistado_84,MEXICALI,Primera mención,UAD,10.0,8.0,7.8,8.0,1.0,5.8,10.0,6.5,8.0,6.4,7.5,7.3,7.3,6.9
